"Account","Order Date","ChannelAdvisor Order ID","Site Name","SKU","Quantity","Shipment Status Date","Distribution Center","Requested Shipping Carrier Name","Requested Shipping Class Name"
"BW - MISHON","1/23/2023 5:12 PM","6641033","Walmart Marketplace","15MIS_C-HGK-0023","1","","MISHONC - Chesterfield","Walmart","Express"
"BW - MISHON","1/23/2023 5:12 PM","6640944","Amazon Seller Central - US","15MIS_C-DSP-0041","1","","MISHON - New Dundee","Amazon Merchants@","Standard"
"BW - MISHON","1/23/2023 5:12 PM","6640944","Amazon Seller Central - US","15MIS_C-DSP-0189","1","","MISHON - New Dundee","Amazon Merchants@","Standard"
"BW - MISHON","1/23/2023 5:12 PM","6640942","Amazon Seller Central - US","15MIS_C-BLD-0002_MPK2","1","","MISHONC - Chesterfield","Amazon Merchants@","Standard"
"BW - MISHON","1/23/2023 5:13 PM","6640866","Checkout Direct","15MIS_K-PST-0012","1","","MISHONC - Chesterfield","",""
"BW - MISHON","1/23/2023 5:13 PM","6640941","Amazon Seller Central - US","15MIS_C-SSL-0108","1","","MISHON - New Dundee","Amazon Merchants@","Standard"
"BW - MISHON CAD","23/01/2023 5:14 PM","6641059","Amazon Seller Central - CA","15MIS_C-SSL-0022","1","","MISHON - New Dundee","Amazon Merchants@","Expedited"
"BW - MISHON","1/23/2023 5:14 PM","6640887","Checkout Direct","15MIS_K-CYH-0005","1","","MISHONC - Chesterfield","",""
"BW - MISHON","1/23/2023 5:15 PM","6640945","Amazon Seller Central - US","15MIS_C-PTO-0217","2","","MISHON - New Dundee","Amazon Merchants@","Standard"
"BW - MISHON","1/23/2023 5:16 PM","6640946","Amazon Seller Central - US","15MIS_C-CCH-0033_MPK2","1","","MISHON - New Dundee","Amazon Merchants@","Standard"
"BW - MISHON","1/23/2023 5:16 PM","6640912","eBay Motors Fixed Price US","15MIS_C-SMO-0037","1","","MISHON - New Dundee","STANDARD","BEST WAY EBAY"
"BW - MISHON","1/23/2023 5:17 PM","6640947","Amazon Seller Central - US","15MIS_C-CGB-0023","1","","MISHON - New Dundee","Amazon Merchants@","Standard"
"BW - MISHON","1/23/2023 5:19 PM","6640949","Amazon Seller Central - US","15MIS_C-DBT-0029","1","","MISHON - New Dundee","Amazon Merchants@","Standard"
"BW - MISHON","1/23/2023 5:20 PM","6640948","Amazon Seller Central - US","15MIS_C-CBL-0965","1","","MISHON - New Dundee","Amazon Merchants@","Standard"
"BW - MISHON","1/23/2023 5:20 PM","6640950","Amazon Seller Central - US","15MIS_C-PTO-0176","1","","MISHON - New Dundee","Amazon Merchants@","Standard"
"BW - MISHON","1/23/2023 5:22 PM","6640952","Amazon Seller Central - US","15KIT_MK1000942","1","","MISHON - New Dundee","Amazon Merchants@","Standard"
"BW - MISHON","1/23/2023 5:23 PM","6640929","eBay Fixed Price US","15KIT_MK1005565","1","","MISHON - New Dundee","STANDARD","BEST WAY EBAY"
"BW - MISHON","1/23/2023 5:24 PM","6640951","Amazon Seller Central - US","15KIT_MK1002680","1","","MISHON - New Dundee","Amazon Merchants@","Standard"
